sessionid;query_desc;type;total;time;branchcode;categorycode
775a12f2a1324bde274c02ed21430bb3;"au,wrdl: Alberts";biblio;8;"2019-02-23 17:28:11";FING;BIBLIOTECA
775a12f2a1324bde274c02ed21430bb3;"au,wrdl: Alberts";biblio;8;"2019-02-23 17:29:30";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"se,wrdl: Programación";biblio;0;"2019-03-01 16:21:35";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"callnum,wrdl: Programación";biblio;0;"2019-03-01 16:21:43";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"ti,wrdl: Programación";biblio;55;"2019-03-01 16:21:53";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"kw,wrdl: c++";biblio;11364;"2019-03-01 16:26:06";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"kw,wrdl: c++";biblio;11364;"2019-03-01 16:26:50";FING;BIBLIOTECA
7762fe1145877284a417558c9d699a64;"kw,wrdl: c++, su-to:COMPUTACION";biblio;335;"2019-03-01 16:27:31";FING;BIBLIOTECA
ff5dd24e45690c34977d6e4aed1da601;"kw,wrdl: proyecto";biblio;744;"2019-03-04 21:19:13";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: IEC";biblio;34;"2019-03-08 10:59:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: IEC 60601-2-21";biblio;2;"2019-03-08 10:59:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: IEC 60601-2-21, itype:NORMATEC";biblio;1;"2019-03-08 11:00:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: IEC";biblio;34;"2019-03-08 11:01:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: IEC, itype:NORMATEC";biblio;20;"2019-03-08 11:01:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: servocuna";biblio;1;"2019-03-08 11:01:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: cuna radiante";biblio;1;"2019-03-08 11:02:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"an:9942, ";biblio;1;"2019-03-08 11:14:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: cuna";biblio;4;"2019-03-08 11:14:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: radiante";biblio;10;"2019-03-08 11:14:00";FING;BIBLIOTECA
ed5165b5806c87b404383805970100da;"kw,wrdl: precalculo";biblio;1;"2019-03-08 12:07:26";FING;BIBLIOTECA
f1861aeba6611a931d75e022cacb31c1;"ti,wrdl: precalculo";biblio;1;"2019-03-08 12:09:59";FING;BIBLIOTECA
f1861aeba6611a931d75e022cacb31c1;"kw,wrdl: quimica";biblio;309;"2019-03-08 12:12:53";FING;BIBLIOTECA
f1861aeba6611a931d75e022cacb31c1;"kw,wrdl: quimica inorganica";biblio;31;"2019-03-08 12:13:09";FING;BIBLIOTECA
f1861aeba6611a931d75e022cacb31c1;"an:11151, ";biblio;14;"2019-03-08 12:14:28";FING;BIBLIOTECA
068a7bd877f76e9e6e6cb210961b11c3;"an:""4829"", ";biblio;2;"2019-03-13 10:30:01";FING;TEC_MED_N
068a7bd877f76e9e6e6cb210961b11c3;mc-itype,phr:NOTICIA;biblio;0;"2019-03-13 10:31:05";FING;TEC_MED_N
068a7bd877f76e9e6e6cb210961b11c3;"mc-itype,phr:AP or mc-itype,phr:NOTICIA";biblio;7;"2019-03-13 10:31:21";FING;TEC_MED_N
068a7bd877f76e9e6e6cb210961b11c3;"mc-itype,phr:AP or mc-itype,phr:NOTICIA or mc-itype,phr:RL";biblio;7;"2019-03-13 10:31:59";FING;TEC_MED_N
068a7bd877f76e9e6e6cb210961b11c3;mc-itype,phr:RL;biblio;0;"2019-03-13 10:32:12";FING;TEC_MED_N
068a7bd877f76e9e6e6cb210961b11c3;mc-itype,phr:FICCION;biblio;255;"2019-03-13 10:32:29";FING;TEC_MED_N
0e52e05e507295227468b39bb1897e4e;"au,wrdl: Jon rogawski";biblio;1;"2019-03-13 21:31:33";FING;BIBLIOTECA
0e52e05e507295227468b39bb1897e4e;"an:""5853"", ";biblio;1;"2019-03-13 21:32:23";FING;BIBLIOTECA
bb7235c7adaa41b5dc94bfca7f4159df;"kw,wrdl: tubiana";biblio;0;"2019-03-13 21:36:03";FING;TEC_MED_N
bb7235c7adaa41b5dc94bfca7f4159df;"au,wrdl: tubiana";biblio;0;"2019-03-13 21:36:12";FING;TEC_MED_N
cf717f92344e3cd22cbd0b1549dca0e0;"an:8811, ";biblio;19;"2019-03-14 11:43:11";FING;TEC_MED_N
cf717f92344e3cd22cbd0b1549dca0e0;"su:""INFORMACION GENETICA"", ";biblio;12;"2019-03-14 11:43:31";FING;TEC_MED_N
8b9a9084f0868399741e2dc7cfab8d62;"ti,wrdl: termodinamica";biblio;25;"2019-03-14 20:30:22";FING;BIBLIOTECA
f778fff5bf21e788ddb2b0912baf3a13;"kw,wrdl: radiobiologia";biblio;35;"2019-03-15 09:58:06";FING;TEC_MED_N
2c2f3c34b2cacdeab5dccf717f1bcb3d;"kw,wrdl: La celula Cooper";biblio;5;"2019-03-15 12:46:49";FING;BIBLIOTECA
323a5bea19bd2992568202534cc75052;"kw,wrdl: quimica bioanalitica";biblio;0;"2019-03-16 00:30:18";FING;TEC_MED_N
323a5bea19bd2992568202534cc75052;"ti,wrdl: Química Bioanalítica";biblio;0;"2019-03-16 00:30:50";FING;TEC_MED_N
323a5bea19bd2992568202534cc75052;"ti,wrdl: Química Bioanalítica";biblio;0;"2019-03-16 00:30:53";FING;TEC_MED_N
323a5bea19bd2992568202534cc75052;"au,wrdl: eduardo corton";biblio;0;"2019-03-16 00:31:06";FING;TEC_MED_N
0893caf4865992b70d07f1fe847b0fa4;"au,wrdl: Cooper";biblio;12;"2019-03-17 15:53:05";FING;BIBLIOTECA
84df1fd1f5d6871de2b21edfac7bf5b0;"kw,wrdl: tubiana";biblio;0;"2019-03-18 10:12:39";FING;TEC_MED_N
84df1fd1f5d6871de2b21edfac7bf5b0;"kw,wrdl: radiobiologia";biblio;35;"2019-03-18 10:13:24";FING;TEC_MED_N
d6bd92d4affe5da2921bd923d53dee4f;"kw,wrdl: agrawal";biblio;0;"2019-03-20 23:31:02";FING;BIBLIOTECA
d6bd92d4affe5da2921bd923d53dee4f;"au,wrdl: agrawal";biblio;0;"2019-03-20 23:31:16";FING;BIBLIOTECA
d6bd92d4affe5da2921bd923d53dee4f;"au,wrdl: agrawal";biblio;0;"2019-03-20 23:31:21";FING;BIBLIOTECA
d6bd92d4affe5da2921bd923d53dee4f;"ti,wrdl: biomaterials";biblio;29;"2019-03-20 23:31:43";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"kw,wrdl: Rowasky";biblio;0;"2019-03-21 15:45:54";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Rowasky";biblio;0;"2019-03-21 15:46:05";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Rowasky";biblio;0;"2019-03-21 15:46:09";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"ti,wrdl: Jon Rowasky";biblio;0;"2019-03-21 15:46:21";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Jon Rowasky";biblio;0;"2019-03-21 15:46:26";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Jon Rowasky";biblio;0;"2019-03-21 15:46:30";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Jon Rowasky";biblio;0;"2019-03-21 15:46:33";FING;BIBLIOTECA
02f79dd1689c35b0b95cd1e0b8e19328;"au,wrdl: Jon Rowaski";biblio;0;"2019-03-21 15:46:44";FING;BIBLIOTECA
656437f8391ee7174005d1d5773b9765;"ti,wrdl: calculo varias variables";biblio;7;"2019-03-21 18:37:16";FING;BIBLIOTECA
c49794d7ee943badf5112e5b635d5a94;"su,wrdl: Física 2";biblio;62;"2019-03-25 15:28:06";FING;BIBLIOTECA
14a3b3ef6eab295556911862521e5d71;"kw,wrdl: serway";biblio;10;"2019-03-25 17:00:46";FING;BIBLIOTECA
82e525c7a99afb31b31a7c44d4307760;"kw,wrdl: funciones de variables complejas";biblio;4;"2019-03-26 11:13:23";FING;BIBLIOTECA
414c81fddf95881558ad188f80d27346;"kw,wrdl: Bystander effect";biblio;0;"2019-03-27 11:58:17";FING;TEC_MED_N
3849d0ed388d8adc52ef3ffa1a2bf0f6;"kw,wrdl: java";biblio;16;"2019-03-27 21:52:10";FING;BIOINGENIE
e1dec31ac232a0da0b6d95033e2b1f25;"ti,wrdl: Física 1";biblio;17;"2019-04-01 23:07:11";FING;TEC_PROD_M
b8cafbe968dd3fef8afd998c62ed47bf;"kw,wrdl: estequio";biblio;14;"2019-04-02 21:13:51";FING;BIBLIOTECA
b8cafbe968dd3fef8afd998c62ed47bf;"kw,wrdl: estequiometría";biblio;14;"2019-04-02 21:14:10";FING;BIBLIOTECA
866ceda633fdb58a8710aece1e723c86;"kw,wrdl: fisica moderna y aplicaciones";biblio;0;"2019-04-03 18:44:48";FING;BIBLIOTECA
866ceda633fdb58a8710aece1e723c86;"kw,wrdl: física moderna y aplicaciones";biblio;0;"2019-04-03 18:44:54";FING;BIBLIOTECA
866ceda633fdb58a8710aece1e723c86;"kw,wrdl: física moderna";biblio;29;"2019-04-03 18:44:59";FING;BIBLIOTECA
866ceda633fdb58a8710aece1e723c86;"kw,wrdl: física moderna";biblio;29;"2019-04-03 18:45:00";FING;BIBLIOTECA
51b28e0494153cd200b7bd9f2822115d;"kw,wrdl: quimica chang raymond";biblio;2;"2019-04-03 19:15:16";FING;BIBLIOTECA
673c9d1e3cbe38093b5b51c58eecec0a;"kw,wrdl: Física serway";biblio;10;"2019-04-03 20:01:36";FING;HIST
673c9d1e3cbe38093b5b51c58eecec0a;"kw,wrdl: Física serway 7ma edición";biblio;0;"2019-04-03 20:02:27";FING;HIST
9c05955e676de119e2537f8e54f2ebc4;"au,wrdl: Cengel";biblio;8;"2019-04-04 13:59:07";FING;BIBLIOTECA
df665ab51e3e4c7308d67edc5fb24ba8;"kw,wrdl: serway";biblio;10;"2019-04-06 09:00:00";FING;BIBLIOTECA
df665ab51e3e4c7308d67edc5fb24ba8;"kw,wrdl: quimica";biblio;309;"2019-04-06 09:07:52";FING;BIBLIOTECA
df665ab51e3e4c7308d67edc5fb24ba8;"kw,wrdl: electronica";biblio;783;"2019-04-06 09:08:45";FING;BIBLIOTECA
40a0bb8d2b0717203227cbb54480f7d7;"kw,wrdl: chang";biblio;17;"2019-04-08 17:04:05";FING;BIBLIOTECA
40a0bb8d2b0717203227cbb54480f7d7;"kw,wrdl: chang";biblio;17;"2019-04-08 17:06:29";FING;BIBLIOTECA
40a0bb8d2b0717203227cbb54480f7d7;"kw,wrdl: serway";biblio;10;"2019-04-08 17:06:46";FING;BIBLIOTECA
58c383076d2e375443bfeafcf39f6768;"ti,wrdl: cooper";biblio;11;"2019-04-10 16:24:45";FING;S
58c383076d2e375443bfeafcf39f6768;"au,wrdl: cooper";biblio;11;"2019-04-10 16:25:01";FING;S
58c383076d2e375443bfeafcf39f6768;"au,wrdl: cooper";biblio;11;"2019-04-10 16:32:52";FING;S
58c383076d2e375443bfeafcf39f6768;"au,wrdl: cooper";biblio;11;"2019-04-10 16:32:59";FING;S
58c383076d2e375443bfeafcf39f6768;"kw,wrdl: cooper";biblio;38;"2019-04-10 16:35:42";FING;S
58c383076d2e375443bfeafcf39f6768;"kw,wrdl: cooper";biblio;38;"2019-04-10 16:36:21";FING;S
58c383076d2e375443bfeafcf39f6768;"kw,wrdl: cooper";biblio;38;"2019-04-10 16:36:27";FING;S
092d782d8eaa8c909f05cd03ad81c1c8;"kw,wrdl: cooper";biblio;38;"2019-04-11 15:25:24";FING;S
092d782d8eaa8c909f05cd03ad81c1c8;"kw,wrdl: cooper, au:Cooper, Geoffrey M.";biblio;5;"2019-04-11 15:25:28";FING;S
5cf9cb2034f0364dd3aedb6655bc3aa3;"kw,wrdl: chang";biblio;17;"2019-04-14 19:45:49";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: geometria computacional";biblio;0;"2019-04-15 11:36:18";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: geometría computacional";biblio;0;"2019-04-15 11:36:34";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: geometría computacional";biblio;0;"2019-04-15 11:36:37";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: geometría computacional";biblio;0;"2019-04-15 11:36:38";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: algebra computacional";biblio;0;"2019-04-15 11:37:06";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: álgebra computacional";biblio;0;"2019-04-15 11:37:16";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: geometría combinatoria";biblio;3;"2019-04-15 11:37:34";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"su,wrdl: geometría combinatoria";biblio;3;"2019-04-15 11:38:05";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"su,wrdl: geometría combinatoria";biblio;3;"2019-04-15 11:38:16";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"au,wrdl: young";biblio;18;"2019-04-15 11:40:10";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"au,wrdl: young elizabeth";biblio;2;"2019-04-15 11:40:35";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: angeles tepper";biblio;2;"2019-04-15 11:44:02";FING;BIBLIOTECA
9c320db51cf2d46371bd9e2f9ec11539;"kw,wrdl: teoria de grafos";biblio;6;"2019-04-15 17:02:13";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"au,wrdl: Chang";biblio;6;"2019-04-15 19:42:06";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"callnum,wrdl: fundamento de programacion";biblio;0;"2019-04-15 19:51:30";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"su,wrdl: fundamento de programacion";biblio;0;"2019-04-15 19:51:47";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"au,wrdl: fundamento de programacion";biblio;0;"2019-04-15 19:51:55";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"au,wrdl: fundamentos de programacion";biblio;0;"2019-04-15 19:52:14";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"au,wrdl: fundamentos programacion";biblio;0;"2019-04-15 19:52:30";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"callnum,wrdl: fundamentos programacion";biblio;0;"2019-04-15 19:52:37";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"callnum,wrdl: fundamentos";biblio;0;"2019-04-15 19:52:43";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"su,wrdl: fundamentos";biblio;1;"2019-04-15 19:52:52";FING;BIBLIOTECA
d9e9b2b01820bee9cafb4e561f56c3f4;"kw,wrdl: fundamentos de programacion";biblio;4;"2019-04-15 19:53:58";FING;BIBLIOTECA
84f9a8e704f4b523797b6551a81da558;"kw,wrdl: Anatomía";biblio;90;"2019-05-03 16:57:00";FING;BIBLIOTECA
bd8676f15395abc50668210d9d5217ee;"kw,wrdl: silverthorn";biblio;3;"2019-05-03 22:57:09";FING;BIBLIOTECA
6f139224a8dd204a3fe639b064a71f83;"ti,wrdl: Serway";biblio;0;"2019-05-05 20:01:05";FING;BIBLIOTECA
6f139224a8dd204a3fe639b064a71f83;"kw,wrdl: Serway";biblio;10;"2019-05-05 20:01:39";FING;BIBLIOTECA
948fd819c5771c1dcc3494de99486159;"kw,wrdl: Shanon";biblio;0;"2019-05-16 23:04:07";FING;HIST
948fd819c5771c1dcc3494de99486159;"kw,wrdl: Shannon";biblio;6;"2019-05-16 23:04:16";FING;HIST
8509f426f0cabef4fba70ef57f175c91;"kw,wrdl: matematicas avanzadas glyn james";biblio;1;"2019-05-27 01:20:29";FING;BIBLIOTECA
8509f426f0cabef4fba70ef57f175c91;"kw,wrdl: teoria de circuitos y dispositivos electronicos";biblio;2;"2019-05-27 01:21:35";FING;BIBLIOTECA
0517ecc0f6bfcaf8283aa175bc2921c6;"callnum,wrdl: anatomia";biblio;0;"2019-05-31 19:51:13";FING;BIBLIOTECA
0517ecc0f6bfcaf8283aa175bc2921c6;"callnum,wrdl: anato";biblio;0;"2019-05-31 19:51:17";FING;BIBLIOTECA
0517ecc0f6bfcaf8283aa175bc2921c6;"su,wrdl: anato";biblio;91;"2019-05-31 19:51:25";FING;BIBLIOTECA
0517ecc0f6bfcaf8283aa175bc2921c6;"an,phr: 872";biblio;8;"2019-05-31 19:52:27";FING;BIBLIOTECA
70afcc44fd0b3eeee3bef5b4f240ee26;"kw,wrdl: genes";biblio;98;"2019-06-07 17:40:00";FING;BIBLIOTECA
70afcc44fd0b3eeee3bef5b4f240ee26;"kw,wrdl: genes";biblio;98;"2019-06-07 17:40:00";FING;BIBLIOTECA
70afcc44fd0b3eeee3bef5b4f240ee26;"kw,wrdl: genes lewin";biblio;1;"2019-06-07 17:40:00";FING;BIBLIOTECA
38f33d2a3919ed55f0a71e21d52315a7;"kw,wrdl: berne & levi";biblio;0;"2019-06-11 06:46:00";FING;BIBLIOTECA
38f33d2a3919ed55f0a71e21d52315a7;"kw,wrdl: berne";biblio;4;"2019-06-11 06:46:00";FING;BIBLIOTECA
38f33d2a3919ed55f0a71e21d52315a7;"kw,wrdl: silbernag";biblio;2;"2019-06-11 06:47:00";FING;BIBLIOTECA
38f33d2a3919ed55f0a71e21d52315a7;"kw,wrdl: berne";biblio;4;"2019-06-11 06:49:00";FING;BIBLIOTECA
317ad693074625da0700f63e6e1ac966;"kw,wrdl: frumento";biblio;6;"2019-06-18 06:17:38";FING;BIBLIOTECA
53b90ceeccb460b584d0bac4f2a60f87;"kw,wrdl: biologia albert";biblio;14;"2019-06-27 15:32:00";FING;BIBLIOTECA
bc33cead1f15068b4bccbb00d93139e2;"kw,wrdl: matematicas avanzadas glyn james";biblio;1;"2019-06-30 22:19:07";FING;BIBLIOTECA
d6dccec62e2d2ce09077bbc3a2152254;"kw,wrdl: rogasky";biblio;0;"2019-07-01 19:38:41";FING;BIBLIOTECA
d6dccec62e2d2ce09077bbc3a2152254;"kw,wrdl: rogawsky";biblio;0;"2019-07-01 19:38:50";FING;BIBLIOTECA
d6dccec62e2d2ce09077bbc3a2152254;"ti,wrdl: calculo vectorial";biblio;2;"2019-07-01 19:39:06";FING;BIBLIOTECA
d6dccec62e2d2ce09077bbc3a2152254;"su,wrdl: calculo vectorial";biblio;27;"2019-07-01 19:39:24";FING;BIBLIOTECA
3ebb5a4dba3c7ae96996adf276541a3e;"kw,wrdl: logica difusa";biblio;16;"2019-07-03 09:38:58";FING;BIBLIOTECA
3ebb5a4dba3c7ae96996adf276541a3e;"kw,wrdl: revistas";biblio;376;"2019-07-03 09:44:49";FING;BIBLIOTECA
eca20f962f10684a214b68fc5244eebe;"kw,wrdl: La Celula";biblio;166;"2019-07-11 11:29:29";FING;BIBLIOTECA
a3308f5d63088693656563bcbefb573a;"kw,wrdl: fisica";biblio;397;"2019-07-13 01:51:49";FING;BIBLIOTECA
a3308f5d63088693656563bcbefb573a;"kw,wrdl: fisica wilson";biblio;5;"2019-07-13 01:52:09";FING;BIBLIOTECA
c69f996ce110474adc7ef5bfe7bbee90;"kw,wrdl: Física";biblio;397;"2019-07-29 13:29:28";FING;BIBLIOTECA
c69f996ce110474adc7ef5bfe7bbee90;"kw,wrdl: Física wilson";biblio;5;"2019-07-29 13:30:06";FING;BIBLIOTECA
ddd2a102ca254e5e264597ae6d2783df;"kw,wrdl: energias renovables";biblio;8;"2019-08-02 22:30:51";FING;BIBLIOTECA
8fa4f5c173250c292bccae0b97762c5c;"kw,wrdl: algebra";biblio;94;"2019-08-06 20:46:42";FING;BIBLIOTECA
8fa4f5c173250c292bccae0b97762c5c;"kw,wrdl: algebra lineal";biblio;47;"2019-08-06 20:47:03";FING;BIBLIOTECA
8fa4f5c173250c292bccae0b97762c5c;"au,wrdl: grossman";biblio;4;"2019-08-06 20:47:34";FING;BIBLIOTECA
8fa4f5c173250c292bccae0b97762c5c;"an:""2975"", ";biblio;1;"2019-08-06 20:47:58";FING;BIBLIOTECA
450257072608f3736f4f31add129769e;"kw,wrdl: ross";biblio;72;"2019-08-23 10:41:14";FING;BIOINGENIE
450257072608f3736f4f31add129769e;"kw,wrdl: ross";biblio;72;"2019-08-23 10:41:14";FING;BIOINGENIE
450257072608f3736f4f31add129769e;"kw,wrdl: histologia";biblio;31;"2019-08-23 10:41:33";FING;BIOINGENIE
057e99198b68a700935a949ab0a6f63f;"an:""5652"", ";biblio;8;"2019-08-29 23:25:16";FING;BIBLIOTECA
057e99198b68a700935a949ab0a6f63f;"an:""5652"", ";biblio;8;"2019-08-29 23:25:18";FING;BIBLIOTECA
d6ae49a28375608af8113448d6d12ff6;"kw,wrdl: manual de radioproteccion";biblio;3;"2019-09-03 09:03:11";FING;TEC_MED_N
d6ae49a28375608af8113448d6d12ff6;"kw,wrdl: cadime";biblio;1;"2019-09-03 09:06:18";FING;TEC_MED_N
d6ae49a28375608af8113448d6d12ff6;"kw,wrdl: radioproteccion";biblio;56;"2019-09-03 09:06:56";FING;TEC_MED_N
c43fd91d73f7c1420be7c28b9accb2d3;"kw,wrdl: vacunas";biblio;34;"2019-09-06 12:55:27";FING;BIBLIOTECA
89a7309c7d945468142508925ac5f385;"callnum,wrdl: anatomia";biblio;0;"2019-09-25 21:14:32";FING;BIBLIOTECA
89a7309c7d945468142508925ac5f385;"kw,wrdl: anatomia";biblio;92;"2019-09-25 21:14:44";FING;BIBLIOTECA
ffdda615a1a9b102fece61256f7eaffb;"su,wrdl: Efectos del paso de la corriente eléctrica por el cuerpo humano, animales domésticos y de cría";biblio;0;"2019-10-01 17:10:20";FING;BIBLIOTECA
ffdda615a1a9b102fece61256f7eaffb;"su,wrdl: AEA 90479";biblio;1;"2019-10-01 17:10:55";FING;BIBLIOTECA
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Ciencia, Docencia y Tecnología, ";biblio;2;"2019-10-16 09:11:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de enseñanza de la Física, ";biblio;2;"2019-10-16 09:11:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Ciencia, Docencia y Tecnología, ";biblio;2;"2019-10-16 09:12:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de enseñanza de la Física, ";biblio;2;"2019-10-16 09:13:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de la Enseñansa de la Física, ";biblio;1;"2019-10-16 09:13:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de enseñanza de la Física, ";biblio;2;"2019-10-16 10:20:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de enseñanza de la Física, ";biblio;2;"2019-10-16 10:21:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista de la Enseñansa de la Física, ";biblio;1;"2019-10-16 10:21:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"su,wrdl: enseñanza de la fisica";biblio;6;"2019-10-16 10:47:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista Mexicana de Ingeniería Biomédica., ";biblio;2;"2019-10-16 11:38:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"an:10875, ";biblio;1;"2019-10-16 11:42:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"ti,phr:Revista Mexicana de Ingeniería Biomédica., ";biblio;2;"2019-10-16 11:44:00";FING;S
971cb58f5311fa365065ad28fa0598d0;"an:""17047"", ";biblio;2;"2019-10-16 12:12:37";FING;S
